,index,time,open,high,low,close,volume
4360,253140,2017-07-21 20:00:00,2629.0,2629.0,2615.96,2615.96,16456.34834
4361,253198,2017-07-21 21:00:00,2635.11,2638.64,2632.01,2638.64,33480.851424
4362,253257,2017-07-21 22:00:00,2636.95,2640.06,2629.3,2640.06,1757.5137834
4363,253316,2017-07-21 23:00:00,2708.53,2712.87,2695.02,2701.64,188092.1055
4364,253371,2017-07-22 00:00:00,2667.01,2670.82,2667.01,2667.01,3021.8411643
4365,253425,2017-07-22 01:00:00,2664.51,2674.94,2664.39,2670.43,36803.081646
4366,253475,2017-07-22 02:00:00,2703.53,2703.53,2703.24,2703.24,8011.6200195
4367,253533,2017-07-22 03:00:00,2725.76,2732.83,2725.76,2726.26,3666.2698512
4368,253571,2017-07-22 04:00:00,2710.14,2714.92,2709.82,2714.91,22691.687948
4369,253620,2017-07-22 05:00:00,2710.74,2710.75,2706.03,2706.03,61.797456056
4370,253669,2017-07-22 06:00:00,2744.48,2745.99,2744.48,2745.99,3126.9010198
4371,253721,2017-07-22 07:00:00,2752.18,2752.18,2750.19,2750.19,22340.934307
4372,253771,2017-07-22 08:00:00,2767.0,2770.0,2766.26,2770.0,138382.07009
4373,253831,2017-07-22 09:00:00,2797.59,2799.54,2797.59,2799.53,25242.572815
4374,253890,2017-07-22 10:00:00,2810.0,2820.0,2810.0,2820.0,93170.667259
4375,253950,2017-07-22 11:00:00,2850.12,2867.44,2850.12,2850.75,63814.21965
4376,254009,2017-07-22 12:00:00,2820.1,2825.02,2818.7,2825.02,66491.393724
4377,254066,2017-07-22 13:00:00,2824.0,2825.0,2824.0,2825.0,19373.601871
4378,254126,2017-07-22 14:00:00,2755.8,2755.8,2751.06,2751.18,5832.2283844
4379,254183,2017-07-22 15:00:00,2770.11,2774.95,2760.0,2774.65,417512.59628
4380,254241,2017-07-22 16:00:00,2787.81,2787.98,2787.81,2787.98,119.2600134
4381,254300,2017-07-22 17:00:00,2816.69,2822.8,2816.69,2822.8,2635.2745358
4382,254359,2017-07-22 18:00:00,2842.11,2842.11,2833.17,2833.17,28718.896327
4383,254418,2017-07-22 19:00:00,2781.0,2787.95,2779.0,2784.83,55505.954978
4384,254476,2017-07-22 20:00:00,2812.0,2822.61,2810.87,2822.61,21893.80113
4385,254532,2017-07-22 21:00:00,2801.9,2801.9,2801.0,2801.66,405.53151765
4386,254591,2017-07-22 22:00:00,2830.39,2834.02,2830.39,2830.45,24668.803916
4387,254648,2017-07-22 23:00:00,2819.95,2823.1,2819.95,2823.1,10928.974482
4388,254704,2017-07-23 00:00:00,2824.82,2832.32,2824.82,2832.32,8514.0176677
4389,254757,2017-07-23 01:00:00,2848.98,2848.98,2848.96,2848.96,545.18505899
4390,254811,2017-07-23 02:00:00,2829.66,2829.71,2824.49,2829.71,2906.4295891
4391,254865,2017-07-23 03:00:00,2802.01,2804.23,2800.04,2801.01,22085.953191
4392,254911,2017-07-23 04:00:00,2821.12,2821.33,2821.12,2821.33,14341.700471
4393,254968,2017-07-23 05:00:00,2800.0,2806.0,2800.0,2806.0,3028.4824216
4394,255026,2017-07-23 06:00:00,2785.01,2785.01,2785.0,2785.01,980.86512755
4395,255079,2017-07-23 07:00:00,2769.91,2769.91,2767.35,2767.36,828.22077534
4396,255136,2017-07-23 08:00:00,2708.95,2719.99,2708.84,2719.99,52144.900026
4397,255190,2017-07-23 09:00:00,2735.75,2735.75,2729.12,2732.95,5910.4047159
4398,255243,2017-07-23 10:00:00,2740.42,2740.42,2735.9,2735.9,426.66725268
4399,255300,2017-07-23 11:00:00,2708.3,2708.3,2701.99,2701.99,1527.0249059
4400,255360,2017-07-23 12:00:00,2677.79,2677.89,2677.79,2677.79,13564.604782
4401,255416,2017-07-23 13:00:00,2724.39,2728.98,2724.39,2728.98,5081.6265194
4402,255473,2017-07-23 14:00:00,2734.89,2740.9,2734.89,2740.9,15599.815421
4403,255533,2017-07-23 15:00:00,2776.33,2776.33,2776.33,2776.33,46.673661002
4404,255588,2017-07-23 16:00:00,2776.43,2782.98,2776.43,2782.94,15874.097694
4405,255646,2017-07-23 17:00:00,2760.25,2760.27,2760.25,2760.27,192.04026067
4406,255704,2017-07-23 18:00:00,2768.31,2768.31,2758.65,2763.19,858.39830233
4407,255759,2017-07-23 19:00:00,2773.75,2776.98,2767.02,2770.02,424.10173888
4408,255815,2017-07-23 20:00:00,2769.97,2769.97,2762.07,2769.97,3715.5633656
4409,255872,2017-07-23 21:00:00,2783.52,2783.52,2783.0,2783.36,3232.4973313
4410,255930,2017-07-23 22:00:00,2769.97,2769.97,2767.29,2767.29,304.1551886
4411,255987,2017-07-23 23:00:00,2725.67,2728.41,2723.58,2728.41,2888.3015905
4412,256041,2017-07-24 00:00:00,2756.8,2756.8,2748.01,2755.98,8428.7084689
4413,256092,2017-07-24 01:00:00,2756.48,2760.25,2755.33,2760.24,15727.72574
4414,256149,2017-07-24 02:00:00,2772.38,2772.38,2768.87,2768.87,576.05638359
4415,256199,2017-07-24 03:00:00,2772.77,2772.77,2769.78,2772.76,66.139527729
4416,256254,2017-07-24 04:00:00,2760.7,2760.7,2749.81,2749.81,3077.0260451
4417,256308,2017-07-24 05:00:00,2746.19,2751.37,2742.44,2746.75,13991.363321
4418,256365,2017-07-24 06:00:00,2716.83,2716.83,2713.05,2713.05,1110.5226951
4419,256424,2017-07-24 07:00:00,2725.71,2725.71,2715.84,2722.31,49811.190389
4420,256477,2017-07-24 08:00:00,2732.99,2733.0,2729.99,2730.06,48938.848981
4421,256534,2017-07-24 09:00:00,2751.28,2751.28,2749.9,2751.27,48346.260099
4422,256590,2017-07-24 10:00:00,2751.7,2751.98,2745.28,2751.89,6264.8126902
4423,256646,2017-07-24 11:00:00,2756.08,2756.08,2752.03,2755.88,8936.2758743
4424,256705,2017-07-24 12:00:00,2762.99,2762.99,2758.05,2762.99,2503.9565752
4425,256763,2017-07-24 13:00:00,2764.96,2764.96,2760.74,2763.99,254.03794147
4426,256821,2017-07-24 14:00:00,2783.86,2789.03,2783.85,2789.03,16565.39397
4427,256881,2017-07-24 15:00:00,2775.94,2783.61,2775.94,2782.77,18392.732628
4428,256941,2017-07-24 16:00:00,2762.0,2762.0,2761.04,2762.0,4707.6516145
4429,257001,2017-07-24 17:00:00,2761.22,2763.99,2760.68,2763.83,3210.0192561
4430,257061,2017-07-24 18:00:00,2731.56,2731.56,2726.8,2731.56,3083.1969795
4431,257120,2017-07-24 19:00:00,2739.99,2739.99,2736.77,2739.99,11809.350467
4432,257178,2017-07-24 20:00:00,2772.68,2772.68,2767.41,2767.41,540.77753108
4433,257235,2017-07-24 21:00:00,2757.82,2757.82,2750.06,2752.02,60089.340829
4434,257294,2017-07-24 22:00:00,2751.97,2751.97,2748.82,2751.89,16040.405984
4435,257352,2017-07-24 23:00:00,2759.86,2759.91,2755.11,2759.91,1943.6392691
4436,257409,2017-07-25 00:00:00,2759.95,2760.0,2754.54,2754.55,788.86679737
4437,257467,2017-07-25 01:00:00,2766.22,2766.22,2764.66,2764.96,121.25670884
4438,257524,2017-07-25 02:00:00,2753.35,2753.35,2751.0,2751.01,149.07328653
4439,257576,2017-07-25 03:00:00,2754.01,2754.01,2752.03,2754.01,595.06772771
4440,257623,2017-07-25 04:00:00,2750.85,2751.0,2750.0,2751.0,10569.183122
4441,257666,2017-07-25 05:00:00,2748.8,2748.8,2748.0,2748.0,761.33397248
4442,257718,2017-07-25 06:00:00,2758.04,2761.0,2758.04,2761.0,3670.9389225
4443,257777,2017-07-25 07:00:00,2688.02,2697.07,2688.02,2690.01,77636.949114
4444,257837,2017-07-25 08:00:00,2668.95,2668.96,2651.62,2666.73,123329.20751
4445,257896,2017-07-25 09:00:00,2686.01,2693.31,2686.0,2693.31,11111.73199
4446,257956,2017-07-25 10:00:00,2658.99,2663.58,2653.33,2659.4,32416.38181
4447,258016,2017-07-25 11:00:00,2600.06,2604.22,2594.56,2601.67,13761.903956
4448,258076,2017-07-25 12:00:00,2570.7,2576.0,2570.26,2570.37,41410.040162
4449,258136,2017-07-25 13:00:00,2534.47,2539.1,2521.0,2525.96,30691.500952
4450,258196,2017-07-25 14:00:00,2552.69,2559.99,2552.69,2559.99,6539.5775337
4451,258256,2017-07-25 15:00:00,2571.65,2575.89,2569.0,2575.89,40770.663424
4452,258315,2017-07-25 16:00:00,2580.21,2580.21,2576.62,2580.14,16081.068923
4453,258375,2017-07-25 17:00:00,2545.14,2545.14,2533.14,2534.24,771.72378466
4454,258434,2017-07-25 18:00:00,2559.71,2563.23,2552.18,2563.23,4194.2831425
4455,258494,2017-07-25 19:00:00,2495.0,2495.0,2491.0,2491.0,31889.078533
4456,258554,2017-07-25 20:00:00,2490.0,2495.96,2489.87,2493.99,21234.138244
4457,258614,2017-07-25 21:00:00,2483.7,2485.98,2475.36,2477.36,25490.385144
4458,258674,2017-07-25 22:00:00,2557.06,2561.24,2556.27,2556.31,23271.840764
4459,258732,2017-07-25 23:00:00,2545.21,2548.4,2532.79,2546.13,57884.764273
4460,258791,2017-07-26 00:00:00,2564.74,2564.99,2560.92,2561.04,4946.3130863
4461,258850,2017-07-26 01:00:00,2585.98,2589.94,2585.98,2586.01,12323.156781
4462,258907,2017-07-26 02:00:00,2562.56,2571.87,2562.56,2571.87,304.50638289
4463,258964,2017-07-26 03:00:00,2505.04,2509.1,2505.04,2506.01,26783.402697
4464,259023,2017-07-26 04:00:00,2512.11,2512.11,2504.41,2508.81,33730.736431
4465,259079,2017-07-26 05:00:00,2514.5,2514.51,2514.5,2514.5,6835.7454061
4466,259136,2017-07-26 06:00:00,2476.33,2476.33,2470.0,2476.33,39425.152134
4467,259196,2017-07-26 07:00:00,2447.96,2448.08,2443.37,2448.08,3948.3991655
